Customer ID,Name,Age
1,Kristen Klein,16
2,April Norman,26
3,Justin Hanna,21
4,Pamela Stephens,23
5,Annette Murphy,23
6,Gregory Lee,22
7,Oscar Doyle,24
8,Kelly Ramos,22
9,James Rollins,24
10,Lisa Williams,21
11,Amanda Williams,22
12,Edward Brown,20
13,Elizabeth Sanders,17
14,Jose Ingram,23
15,Emily Perry,21
16,Elizabeth Rivera,24
17,Robin Nelson,19
18,Tyler Petersen,24
19,Linda Harmon,25
20,Donald Riggs,25
21,Karen Simmons,26
22,Elizabeth Burns,23
23,Kathleen Phillips,22
24,Kayla Ward,24
25,Bryan Goodman,20
26,Travis Smith,22
27,Daniel Herrera,19
28,Elijah Ford,18
29,Heather Villegas,25
30,Brandon Hall,23
31,Amber Knight,25
32,Jeffrey Greene,22
33,Robert Schwartz,21
34,Maurice Horn,24
35,Maria Callahan,20
36,Victoria Valdez,16
37,Shawn Jones,18
38,Deborah Sanders,23
39,Dana Hayes,24
40,Katherine Baird,22
41,Daniel Medina,22
42,Rodney Allen,26
43,Joseph Dixon,17
44,Marcus Cox,16
45,Eric Bender,18
46,Mark Velasquez,22
47,Daniel Ramirez,20
48,Amanda Simpson,23
49,Alvin Daniels,23
50,Amber Mullins,24
51,Jessica Evans,25
52,Carolyn Hahn,24
53,Eileen Taylor,24
54,Joel Jenkins,16
55,Janet White,16
56,Alexander Matthews,19
57,Madeline Blanchard,25
58,Rachel Rios,17
59,Kayla Burnett,21
60,David Payne,20
61,Margaret Collins,24
62,Kimberly Fuller,25
63,Cheryl Chavez,17
64,William Lopez,20
65,Katherine Williamson,20
66,Ashley Weeks,19
67,Bryan Garrett,17
68,Clarence Arroyo,24
69,Karen Daniels,24
70,Christopher Johnson,16
71,Michelle Pittman,18
72,Janet Johnson,23
73,Diane Bautista,24
74,Richard Rogers,25
75,Edward Kelly,23
76,Tammy Camacho,26
77,Brooke Johnston,17
78,Jacob Russo,23
79,Adrian Foster,22
80,Dawn Davis,25
81,Brendan Garcia,16
82,Tommy Patterson,23
83,Brandon Molina,17
84,Sue White,24
85,Craig Torres,16
86,Linda Sanchez,25
87,Diana Hernandez,22
88,Shannon Carpenter,22
89,Corey Chandler,16
90,Stacey Jones,25
91,Robert Lewis,25
92,Kelly Weber,20
93,Timothy Zhang,19
94,Emma Miles,25
95,Donald Jackson,16
96,Catherine Garcia,22
97,Joshua Henderson,23
98,Tiffany Sandoval,22
99,Christopher Lane,19
